event_count,n_sessions,n_songs,tenure_days,recency_days,page__Thumbs_Up,page__Thumbs_Down,page__Add_to_Playlist,page__Add_Friend,page__Roll_Advert,page__Help,page__Settings,page__Error,page__Downgrade,page__Upgrade,page__Logout,page__Home,page__NextSong,last_level,events_per_session,songs_per_session,churn
412,7,331,14.450844907407408,47.0291087962963,7,7,11,11,2,2,5,1,8,1,5,15,331,paid,58.857142857142854,47.285714285714285,1
89,2,62,1.5394328703703704,56.092650462962965,1,1,2,2,11,1,0,0,0,0,2,4,62,free,44.5,31.0,1
1895,24,1585,59.96180555555556,2.3769560185185186,82,12,50,32,1,7,8,3,16,4,18,72,1585,paid,78.95833333333333,66.04166666666667,0
1322,17,1078,45.54988425925926,16.797268518518518,66,11,39,23,23,9,7,0,2,1,13,45,1078,paid,77.76470588235294,63.411764705882355,0
3214,35,2682,58.96628472222222,2.4551736111111113,148,27,61,49,25,18,11,3,30,1,35,105,2682,paid,91.82857142857142,76.62857142857143,0
351,7,263,51.89347222222222,6.254189814814815,21,1,7,8,25,1,1,0,0,2,6,15,263,free,50.142857142857146,37.57142857142857,0
1003,25,767,19.376400462962962,43.390277777777776,32,5,19,27,50,8,8,0,1,7,19,56,767,paid,40.12,30.68,1
216,5,154,18.111226851851853,44.301516203703706,7,3,3,3,18,2,2,0,0,4,3,15,154,free,43.2,30.8,1
6,1,3,0.004861111111111111,6.076574074074074,0,0,0,0,1,0,1,0,0,0,0,1,3,free,6.0,3.0,0
202,8,158,56.16746527777778,3.4173958333333334,6,2,1,0,17,0,1,1,0,0,5,11,158,free,25.25,19.75,0
1603,16,1297,57.67384259259259,2.7489120370370372,139,13,42,17,2,6,7,2,7,2,18,47,1297,paid,100.1875,81.0625,0
102,1,88,0.26491898148148146,44.55273148148148,6,0,2,2,0,0,1,0,0,0,1,2,88,paid,102.0,88.0,0
1229,8,1047,57.22548611111111,4.947268518518518,46,4,23,8,6,5,2,0,9,2,15,54,1047,paid,153.625,130.875,0
916,13,726,14.713680555555555,46.75609953703704,28,8,20,20,28,3,11,0,4,3,18,39,726,paid,70.46153846153847,55.84615384615385,1
379,5,279,43.35068287037037,8.127476851851851,23,3,7,17,14,3,2,0,2,3,7,17,279,paid,75.8,55.8,0
445,13,343,56.438969907407404,4.943969907407407,11,3,10,10,22,1,6,2,0,3,6,27,343,free,34.23076923076923,26.384615384615383,0
4370,41,3616,59.01636574074074,2.265578703703704,192,38,108,58,33,24,25,2,42,7,54,157,3616,paid,106.58536585365853,88.1951219512195,0
818,10,650,56.43181712962963,4.240439814814815,34,8,20,18,9,8,11,1,6,1,12,36,650,paid,81.8,65.0,0
187,6,146,50.56168981481481,11.782662037037037,4,1,3,1,12,0,2,0,0,1,3,12,146,free,31.166666666666668,24.333333333333332,0
456,8,348,34.90196759259259,27.51096064814815,16,10,5,6,34,2,2,1,0,2,11,19,348,free,57.0,43.5,0
45,5,37,46.907222222222224,11.487719907407408,0,0,0,0,3,2,0,0,0,0,1,2,37,free,9.0,7.4,0
163,1,138,0.37917824074074075,26.139722222222222,4,1,2,3,0,1,4,0,0,0,1,7,138,paid,163.0,138.0,0
1392,14,1131,31.03877314814815,30.262268518518518,39,15,31,28,39,9,7,2,13,4,13,53,1131,paid,99.42857142857143,80.78571428571429,1
2404,30,1975,54.5005787037037,2.6486342592592593,108,12,61,32,24,17,12,1,17,3,34,100,1975,paid,80.13333333333334,65.83333333333333,0
518,12,398,55.371747685185184,2.429039351851852,28,3,5,7,32,3,3,0,0,3,9,26,398,free,43.166666666666664,33.166666666666664,0
349,11,258,37.001793981481484,23.757094907407406,10,10,13,2,22,1,4,1,0,0,7,18,258,free,31.727272727272727,23.454545454545453,1
235,5,178,58.974375,2.617777777777778,14,2,3,7,17,0,1,0,0,0,2,10,178,free,47.0,35.6,0
977,14,751,55.606203703703706,3.014236111111111,37,25,16,14,54,2,5,0,5,5,19,40,751,free,69.78571428571429,53.642857142857146,0
2278,15,1914,54.77318287037037,7.843263888888889,81,14,59,31,1,8,16,2,28,0,27,93,1914,paid,151.86666666666667,127.6,0
84,2,66,2.7661574074074076,2.1155439814814816,3,1,0,3,8,0,1,0,0,0,1,1,66,free,42.0,33.0,0
262,3,204,29.134386574074075,18.1040625,17,2,3,2,10,3,2,0,1,1,3,9,204,free,87.33333333333333,68.0,0
112,2,92,33.93364583333334,13.332986111111111,3,2,0,0,6,1,1,0,0,0,2,4,92,free,56.0,46.0,0
4659,58,3816,59.52513888888889,2.1966782407407406,336,36,107,89,5,16,18,5,17,1,44,154,3816,paid,80.32758620689656,65.79310344827586,0
964,20,681,42.389467592592595,20.379988425925927,45,20,14,11,115,6,8,1,0,7,14,37,681,free,48.2,34.05,1
872,7,724,58.8331712962963,3.7861226851851852,30,9,14,16,11,3,4,4,9,3,9,33,724,paid,124.57142857142857,103.42857142857143,0
259,1,216,0.6283796296296297,53.7009837962963,5,2,8,4,0,0,1,0,2,0,8,11,216,paid,259.0,216.0,0
79,3,63,22.704189814814814,12.344907407407407,1,0,4,2,3,0,1,0,0,0,0,4,63,free,26.333333333333332,21.0,0
272,6,212,46.05783564814815,9.497430555555555,13,2,4,3,15,2,0,1,0,1,6,12,212,free,45.333333333333336,35.333333333333336,0
3603,34,3028,43.32092592592593,18.732002314814814,154,22,89,47,22,28,19,0,18,5,41,121,3028,paid,105.97058823529412,89.05882352941177,1
296,3,242,36.457141203703706,19.455347222222223,18,1,10,8,0,2,2,2,1,0,3,7,242,paid,98.66666666666667,80.66666666666667,0
552,8,417,19.315439814814816,39.883090277777775,19,13,15,9,27,4,5,1,4,5,7,21,417,paid,69.0,52.125,1
982,10,747,58.46140046296296,4.206631944444444,43,28,25,20,50,5,5,0,0,1,17,38,747,paid,98.2,74.7,0
